variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'mythological', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'poetic', 'mythological', 'mythological', 'geographical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'scientific_alchemical', 'philosophical',
       'mythological', 'geographical', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'poetic', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'mythological', 'mythological', 'poetic', 'mythological',
       'mythological', 'philosophical', 'mythological', 'mythological',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'philosophical', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'mythological', 'philosophical', 'scientific_alchemical',
       'astronomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'medical_anatomical',
       'geographical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'mythological', 'geographical', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'poetic', 'philosophical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'geographical',
       'mythological', 'geographical', 'geographical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'philosophical', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'geographical',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'geographical', 'geographical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'astronomical', 'metaphorical_general', 'astronomical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'poetic', 'philosophical', 'geographical', 'geographical',
       'geographical', 'geographical', 'geographical', 'mythological',
       'medical_anatomical', 'philosophical', 'scientific_alchemical',
       'poetic', 'philosophical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'mythological', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'mythological',
       'spiritual_religious', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'geographical',
       'geographical', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'philosophical', 'metaphorical_general'], dtype=object), array(['metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'poetic', 'mythological', 'metaphorical_general', 'mythological',
       'mythological', 'poetic', 'philosophical', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'spiritual_religious',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'geographical',
       'metaphorical_general', 'philosophical', 'geographical',
       'mythological', 'geographical', 'poetic', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'geographical', 'mythological', 'geographical', 'philosophical',
       'mythological', 'geographical', 'geographical',
       'medical_anatomical', 'poetic', 'geographical', 'geographical',
       'philosophical', 'philosophical', 'mythological', 'geographical',
       'mythological', 'poetic', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'mythological',
       'geographical', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'geographical', 'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'geographical', 'geographical',
       'mythological', 'mythological', 'philosophical', 'poetic',
       'mythological', 'metaphorical_general', 'poetic', 'mythological',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'mythological', 'mythological', 'mythological', 'mythological',
       'philosophical', 'poetic', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'mythological', 'poetic', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'poetic', 'mythological',
       'poetic', 'mythological', 'mythological', 'mythological',
       'geographical', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'geographical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'poetic', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
